BLUE REGION,BLUE SEED,BLUE TEAM,BLUE SCORE,RED SCORE,RED TEAM,RED SEED,RED REGION
CH,CH,⁠Bilibili Gaming,0,1,JD Gaming,CH,CH
CH,CH,JD Gaming,1,0,⁠Bilibili Gaming,CH,CH
CH,CH,⁠Bilibili Gaming,1,0,JD Gaming,CH,CH
CH,CH,JD Gaming,1,0,⁠Bilibili Gaming,CH,CH
CH,CH,⁠Bilibili Gaming,1,0,T1,KR,KR
KR,KR,T1,1,0,⁠Bilibili Gaming,CH,CH
KR,KR,T1,0,1,⁠Bilibili Gaming,CH,CH
CH,CH,⁠Bilibili Gaming,1,0,T1,KR,KR
KR,KR,Gen.G eSports,0,1,⁠Bilibili Gaming,CH,CH
KR,KR,Gen.G eSports,0,1,⁠Bilibili Gaming,CH,CH
CH,CH,⁠Bilibili Gaming,1,0,Gen.G eSports,KR,KR
KR,KR,T1,0,1,JD Gaming,CH,CH
CH,CH,JD Gaming,1,0,T1,KR,KR
CH,CH,JD Gaming,0,1,T1,KR,KR
KR,KR,T1,1,0,JD Gaming,CH,CH
CH,CH,JD Gaming,1,0,T1,KR,KR
NA,NA,Cloud9,0,1,Gen.G eSports,KR,KR
NA,NA,Cloud9,0,1,Gen.G eSports,KR,KR
KR,KR,Gen.G eSports,1,0,Cloud9,NA,NA
EU,EU,G2 Esports,0,1,⁠Bilibili Gaming,CH,CH
EU,EU,G2 Esports,0,1,⁠Bilibili Gaming,CH,CH
EU,EU,G2 Esports,1,0,⁠Bilibili Gaming,CH,CH
EU,EU,G2 Esports,0,1,⁠Bilibili Gaming,CH,CH
NA,NA,Cloud9,1,0,⁠Golden Guardians,NA,NA
NA,NA,Cloud9,0,1,⁠Golden Guardians,NA,NA
NA,NA,Cloud9,1,0,⁠Golden Guardians,NA,NA
NA,NA,⁠Golden Guardians,0,1,Cloud9,NA,NA
CH,CH,⁠Bilibili Gaming,0,1,JD Gaming,CH,CH
CH,CH,⁠Bilibili Gaming,0,1,JD Gaming,CH,CH
CH,CH,JD Gaming,1,0,⁠Bilibili Gaming,CH,CH
EU,EU,G2 Esports,1,0,MAD Lions,EU,EU
EU,EU,G2 Esports,1,0,MAD Lions,EU,EU
EU,EU,MAD Lions,0,1,G2 Esports,EU,EU
KR,KR,T1,1,0,Gen.G eSports,KR,KR
KR,KR,Gen.G eSports,1,0,T1,KR,KR
KR,KR,T1,0,1,Gen.G eSports,KR,KR
KR,KR,Gen.G eSports,0,1,T1,KR,KR
KR,KR,Gen.G eSports,0,1,T1,KR,KR
NA,NA,⁠Golden Guardians,0,1,JD Gaming,CH,CH
NA,NA,⁠Golden Guardians,0,1,JD Gaming,CH,CH
CH,CH,JD Gaming,1,0,⁠Golden Guardians,NA,NA
CH,CH,⁠Bilibili Gaming,1,0,Cloud9,NA,NA
NA,NA,Cloud9,0,1,⁠Bilibili Gaming,CH,CH
NA,NA,Cloud9,0,1,⁠Bilibili Gaming,CH,CH
EU,EU,MAD Lions,0,1,T1,KR,KR
EU,EU,MAD Lions,0,1,T1,KR,KR
EU,EU,MAD Lions,0,1,T1,KR,KR
KR,KR,Gen.G eSports,1,0,G2 Esports,EU,EU
EU,EU,G2 Esports,1,0,Gen.G eSports,KR,KR
EU,EU,G2 Esports,0,1,Gen.G eSports,KR,KR
KR,KR,Gen.G eSports,1,0,G2 Esports,EU,EU
SA,SA,PSG Talon,0,1,⁠Golden Guardians,NA,NA
SA,SA,PSG Talon,0,1,⁠Golden Guardians,NA,NA
NA,NA,⁠Golden Guardians,1,0,PSG Talon,SA,SA
BR,BR,LOUD,0,1,PSG Talon,SA,SA
SA,SA,PSG Talon,1,0,LOUD,BR,BR
NA,NA,⁠Golden Guardians,1,0,Movistar R7,LA,LA
NA,NA,⁠Golden Guardians,1,0,Movistar R7,LA,LA
JP,JP,Detonation FocusMe,0,1,LOUD,BR,BR
BR,BR,LOUD,1,0,Detonation FocusMe,JP,JP
VT,VT,GAM Esports,0,1,Movistar R7,LA,LA
VT,VT,GAM Esports,1,0,Movistar R7,LA,LA
VT,VT,GAM Esports,0,1,Movistar R7,LA,LA
SA,SA,PSG Talon,0,1,G2 Esports,EU,EU
EU,EU,G2 Esports,1,0,PSG Talon,SA,SA
CH,CH,⁠Bilibili Gaming,1,0,⁠Golden Guardians,NA,NA
CH,CH,⁠Bilibili Gaming,0,1,⁠Golden Guardians,NA,NA
CH,CH,⁠Bilibili Gaming,1,0,⁠Golden Guardians,NA,NA
VT,VT,GAM Esports,0,1,⁠Golden Guardians,NA,NA
NA,NA,⁠Golden Guardians,1,0,GAM Esports,VT,VT
CH,CH,⁠Bilibili Gaming,1,0,Movistar R7,LA,LA
CH,CH,⁠Bilibili Gaming,1,0,Movistar R7,LA,LA
EU,EU,G2 Esports,1,0,LOUD,BR,BR
EU,EU,G2 Esports,1,0,LOUD,BR,BR
JP,JP,Detonation FocusMe,0,1,PSG Talon,SA,SA
SA,SA,PSG Talon,1,0,Detonation FocusMe,JP,JP
KR,KR2,T1,2,3,DRX,KR4,KR
KR,KR1,Gen.G eSports,1,3,DRX,KR4,KR
KR,KR2,T1,3,1,JD Gaming,CH1,CH
KR,KR4,DRX,3,2,Edward Gaming,CH3,CH
KR,KR1,Gen.G eSports,3,2,DWG KIA,KR3,KR
KR,KR2,T1,3,0,Royal Never Give Up,CH4,CH
CH,CH1,JD Gaming,3,0,Rogue,EU1,EU
KR,KR1,Gen.G eSports,1,0,Royal Never Give Up,CH4,CH
CH,CH4,Royal Never Give Up,0,1,Gen.G eSports,KR1,KR
SA,SA1,CTBC Flying Oyster,0,1,Royal Never Give Up,CH4,CH
KR,KR1,Gen.G eSports,1,0,100 Thieves,NA2,NA
CH,CH4,Royal Never Give Up,1,0,100 Thieves,NA2,NA
SA,SA1,CTBC Flying Oyster,0,1,Gen.G eSports,KR1,KR
NA,NA2,100 Thieves,1,0,CTBC Flying Oyster,SA1,SA
KR,KR4,DRX,1,0,Rogue,EU1,EU
CH,CH2,Top Esports,1,0,DRX,KR4,KR
CH,CH2,Top Esports,1,0,Rogue,EU1,EU
KR,KR4,DRX,1,0,GAM Esports,VT1,VT
KR,KR4,DRX,1,0,Rogue,EU1,EU
VT,VT1,GAM Esports,1,0,Top Esports,CH2,CH
EU,EU1,Rogue,1,0,GAM Esports,VT1,VT
CH,CH1,JD Gaming,1,0,DWG KIA,KR3,KR
CH,CH1,JD Gaming,0,1,DWG KIA,KR3,KR
NA,NA3,Evil Geniuses,0,1,DWG KIA,KR3,KR
EU,EU2,G2 Esports,0,1,JD Gaming,CH1,CH
KR,KR3,DWG KIA,1,0,G2 Esports,EU2,EU
NA,NA3,Evil Geniuses,0,1,JD Gaming,CH1,CH
EU,EU2,G2 Esports,0,1,Evil Geniuses,NA3,NA
CH,CH3,Edward Gaming,0,1,T1,KR2,KR
KR,KR2,T1,1,0,Cloud9,NA1,NA
EU,EU3,Fnatic,0,1,Edward Gaming,CH3,CH
NA,NA1,Cloud9,0,1,Edward Gaming,CH3,CH
KR,KR2,T1,1,0,Fnatic,EU3,EU
EU,EU3,Fnatic,0,1,Cloud9,NA1,NA
VT,VT1,GAM Esports,0,1,DRX,KR4,KR
KR,KR1,Gen.G eSports,1,0,CTBC Flying Oyster,SA1,SA
NA,NA2,100 Thieves,0,1,Royal Never Give Up,CH4,CH
KR,KR3,DWG KIA,1,0,Evil Geniuses,NA3,NA
EU,EU1,Rogue,1,0,Top Esports,CH2,CH
CH,CH1,JD Gaming,1,0,G2 Esports,EU2,EU
KR,KR4,DRX,1,0,Top Esports,CH2,CH
CH,CH4,Royal Never Give Up,1,0,CTBC Flying Oyster,SA1,SA
NA,NA1,Cloud9,0,1,T1,KR2,KR
CH,CH3,Edward Gaming,1,0,Fnatic,EU3,EU
NA,NA2,100 Thieves,0,1,Gen.G eSports,KR1,KR
VT,VT1,GAM Esports,0,1,Rogue,EU1,EU
KR,KR3,DWG KIA,0,1,JD Gaming,CH1,CH
CH,CH2,Top Esports,1,0,GAM Esports,VT1,VT
CH,CH3,Edward Gaming,1,0,Cloud9,NA1,NA
EU,EU3,Fnatic,1,0,T1,KR2,KR
NA,NA3,Evil Geniuses,0,1,G2 Esports,EU2,EU
EU,EU1,Rogue,1,0,DRX,KR4,KR
KR,KR1,Gen.G eSports,0,1,Royal Never Give Up,CH4,CH
KR,KR2,T1,1,0,Edward Gaming,CH3,CH
CH,CH1,JD Gaming,1,0,Evil Geniuses,NA3,NA
SA,SA1,CTBC Flying Oyster,1,0,100 Thieves,NA2,NA
EU,EU2,G2 Esports,0,1,DWG KIA,KR3,KR
NA,NA1,Cloud9,0,1,Fnatic,EU3,EU
CH,CH4,Royal Never Give Up,3,1,Detonation FocusMe,JP1,JP
NA,NA3,Evil Geniuses,3,0,MAD Lions,EU4,EU
BR,BR1,LOUD,1,3,Detonation FocusMe,JP1,JP
EU,EU4,MAD Lions,3,1,Saigon Buffalo,VT2,VT
BR,BR1,LOUD,0,1,Evil Geniuses,NA3,NA
NA,NA3,Evil Geniuses,1,0,Detonation FocusMe,JP1,JP
CH,CH4,Royal Never Give Up,1,0,Saigon Buffalo,VT2,VT
KR,KR4,DRX,1,0,MAD Lions,EU4,EU
TK,TK1,Istanbul Wildcats,0,1,Isurus,LA1,LA
JP,JP1,Detonation FocusMe,1,0,Evil Geniuses,NA3,NA
BR,BR1,LOUD,1,0,Chief Esports Club,OC1,OC
SA,SA2,Beyond Gaming,0,1,Fnatic,EU3,EU
LA,LA1,Isurus,0,1,DRX,KR4,KR
CH,CH4,Royal Never Give Up,1,0,Istanbul Wildcats,TK1,TK
OC,OC1,Chief Esports Club,0,1,Beyond Gaming,SA2,SA
CH,CH4,Royal Never Give Up,1,0,Isurus,LA1,LA
NA,NA3,Evil Geniuses,1,0,Chief Esports Club,OC1,OC
SA,SA2,Beyond Gaming,0,1,Detonation FocusMe,JP1,JP
EU,EU4,MAD Lions,1,0,Saigon Buffalo,VT2,VT
BR,BR1,LOUD,1,0,Fnatic,EU3,EU
TK,TK1,Istanbul Wildcats,0,1,DRX,KR4,KR
EU,EU4,MAD Lions,0,1,Royal Never Give Up,CH4,CH
KR,KR4,DRX,1,0,Saigon Buffalo,VT2,VT
NA,NA3,Evil Geniuses,1,0,Beyond Gaming,SA2,SA
JP,JP1,Detonation FocusMe,1,0,Chief Esports Club,OC1,OC
VT,VT2,Saigon Buffalo,1,0,Isurus,LA1,LA
NA,NA3,Evil Geniuses,1,0,LOUD,BR1,BR
EU,EU3,Fnatic,1,0,Detonation FocusMe,JP1,JP
KR,KR4,DRX,1,0,Royal Never Give Up,CH4,CH
VT,VT2,Saigon Buffalo,1,0,Istanbul Wildcats,TK1,TK
JP,JP1,Detonation FocusMe,0,1,LOUD,BR1,BR
OC,OC1,Chief Esports Club,0,1,Fnatic,EU3,EU
EU,EU4,MAD Lions,1,0,Istanbul Wildcats,TK1,TK
BR,BR1,LOUD,0,1,Beyond Gaming,SA2,SA
EU,EU3,Fnatic,1,0,Evil Geniuses,NA3,NA
LA,LA1,Isurus,0,1,MAD Lions,EU4,EU
CH,CH,Royal Never Give Up,3,2,T1,KR,KR
KR,KR,T1,3,0,G2 Esports,EU,EU
CH,CH,Royal Never Give Up,3,0,Evil Geniuses,NA,NA
KR,KR,T1,1,0,Royal Never Give Up,CH,CH
NA,NA,Evil Geniuses,0,1,G2 Esports,EU,EU
SA,SA,PSG Talon,0,1,Royal Never Give Up,CH,CH
VT,VT,Saigon Buffalo,0,1,T1,KR,KR
NA,NA,Evil Geniuses,1,0,PSG Talon,SA,SA
EU,EU,G2 Esports,0,1,Saigon Buffalo,VT,VT
CH,CH,Royal Never Give Up,1,0,Evil Geniuses,NA,NA
VT,VT,Saigon Buffalo,1,0,PSG Talon,SA,SA
EU,EU,G2 Esports,0,1,T1,KR,KR
VT,VT,Saigon Buffalo,0,1,Royal Never Give Up,CH,CH
KR,KR,T1,0,1,Evil Geniuses,NA,NA
SA,SA,PSG Talon,1,0,G2 Esports,EU,EU
NA,NA,Evil Geniuses,1,0,Saigon Buffalo,VT,VT
CH,CH,Royal Never Give Up,1,0,G2 Esports,EU,EU
KR,KR,T1,1,0,PSG Talon,SA,SA
CH,CH,Royal Never Give Up,1,0,Saigon Buffalo,VT,VT
EU,EU,G2 Esports,0,1,PSG Talon,SA,SA
NA,NA,Evil Geniuses,0,1,T1,KR,KR
VT,VT,Saigon Buffalo,0,1,G2 Esports,EU,EU
CH,CH,Royal Never Give Up,1,0,T1,KR,KR
SA,SA,PSG Talon,0,1,Evil Geniuses,NA,NA
KR,KR,T1,1,0,Saigon Buffalo,VT,VT
CH,CH,Royal Never Give Up,1,0,PSG Talon,SA,SA
EU,EU,G2 Esports,1,0,Evil Geniuses,NA,NA
SA,SA,PSG Talon,0,1,T1,KR,KR
VT,VT,Saigon Buffalo,0,1,Evil Geniuses,NA,NA
EU,EU,G2 Esports,1,0,Royal Never Give Up,CH,CH
SA,SA,PSG Talon,1,0,Saigon Buffalo,VT,VT
NA,NA,Evil Geniuses,0,1,Royal Never Give Up,CH,CH
KR,KR,T1,0,1,G2 Esports,EU,EU
VT,VT,Saigon Buffalo,0,1,T1,KR,KR
JP,JP,Detonation FocusMe,0,1,Team Aze,LA,LA
KR,KR,T1,1,0,Team Aze,LA,LA
VT,VT,Saigon Buffalo,1,0,Detonation FocusMe,JP,JP
JP,JP,Detonation FocusMe,0,1,T1,KR,KR
LA,LA,Team Aze,0,1,Saigon Buffalo,VT,VT
OC,OC,ORDER,0,1,Evil Geniuses,NA,NA
CH,CH,Royal Never Give Up,1,0,RED Canids,BR,BR
CH,CH,Royal Never Give Up,1,0,PSG Talon,SA,SA
TK,TK,Istanbul Wildcats,0,1,Royal Never Give Up,CH,CH
OC,OC,ORDER,0,1,G2 Esports,EU,EU
EU,EU,G2 Esports,1,0,Evil Geniuses,NA,NA
EU,EU,G2 Esports,1,0,ORDER,OC,OC
NA,NA,Evil Geniuses,1,0,ORDER,OC,OC
NA,NA,Evil Geniuses,0,1,G2 Esports,EU,EU
SA,SA,PSG Talon,0,1,Royal Never Give Up,CH,CH
BR,BR,RED Canids,1,0,Istanbul Wildcats,TK,TK
BR,BR,RED Canids,0,1,Royal Never Give Up,CH,CH
TK,TK,Istanbul Wildcats,0,1,PSG Talon,SA,SA
CH,CH,Royal Never Give Up,1,0,Istanbul Wildcats,TK,TK
SA,SA,PSG Talon,1,0,RED Canids,BR,BR
KR,KR,T1,1,0,Detonation FocusMe,JP,JP
VT,VT,Saigon Buffalo,1,0,Team Aze,LA,LA
SA,SA,PSG Talon,1,0,Istanbul Wildcats,TK,TK
EU,EU,G2 Esports,1,0,ORDER,OC,OC
OC,OC,ORDER,0,1,Evil Geniuses,NA,NA
TK,TK,Istanbul Wildcats,1,0,RED Canids,BR,BR
LA,LA,Team Aze,0,1,T1,KR,KR
JP,JP,Detonation FocusMe,0,1,Saigon Buffalo,VT,VT
NA,NA,Evil Geniuses,1,0,ORDER,OC,OC
EU,EU,G2 Esports,1,0,Evil Geniuses,NA,NA
BR,BR,RED Canids,1,0,PSG Talon,SA,SA
NA,NA,Evil Geniuses,0,1,G2 Esports,EU,EU
OC,OC,ORDER,0,1,G2 Esports,EU,EU
LA,LA,Team Aze,0,1,Detonation FocusMe,JP,JP
KR,KR,T1,1,0,Saigon Buffalo,VT,VT
KR,KR1,DWG KIA,2,3,Edward Gaming,CH1,CH
CH,CH1,Edward Gaming,3,2,Gen.G eSports,KR2,KR
KR,KR1,DWG KIA,3,2,T1,KR3,KR
KR,KR2,Gen.G eSports,3,0,Cloud9,NA3,NA
KR,KR1,DWG KIA,3,0,MAD Lions,EU1,EU
CH,CH1,Edward Gaming,3,2,Royal Never Give Up,CH3,CH
KR,KR3,T1,3,0,Hanwha Life eSports,KR4,KR
KR,KR2,Gen.G eSports,1,0,MAD Lions,EU1,EU
EU,EU1,MAD Lions,1,0,LNG Esports,CH4,CH
KR,KR2,Gen.G eSports,1,0,Team Liquid,NA2,NA
CH,CH4,LNG Esports,0,1,MAD Lions,EU1,EU
NA,NA2,Team Liquid,1,0,Gen.G eSports,KR2,KR
EU,EU1,MAD Lions,1,0,Team Liquid,NA2,NA
KR,KR2,Gen.G eSports,0,1,LNG Esports,CH4,CH
CH,CH4,LNG Esports,0,1,Team Liquid,NA2,NA
KR,KR2,Gen.G eSports,1,0,MAD Lions,EU1,EU
KR,KR4,Hanwha Life eSports,0,1,Royal Never Give Up,CH3,CH
EU,EU2,Fnatic,0,1,PSG Talon,SA1,SA
KR,KR4,Hanwha Life eSports,1,0,Royal Never Give Up,CH3,CH
EU,EU2,Fnatic,0,1,Hanwha Life eSports,KR4,KR
SA,SA1,PSG Talon,0,1,Royal Never Give Up,CH3,CH
CH,CH3,Royal Never Give Up,0,1,Fnatic,EU2,EU
KR,KR4,Hanwha Life eSports,1,0,PSG Talon,SA1,SA
NA,NA1,100 Thieves,1,0,Edward Gaming,CH1,CH
JP,JP1,Detonation FocusMe,0,1,T1,KR3,KR
NA,NA1,100 Thieves,1,0,Detonation FocusMe,JP1,JP
CH,CH1,Edward Gaming,0,1,T1,KR3,KR
KR,KR3,T1,1,0,100 Thieves,NA1,NA
JP,JP1,Detonation FocusMe,0,1,Edward Gaming,CH1,CH
NA,NA3,Cloud9,1,0,Rogue,EU3,EU
CH,CH2,Funplus Phoenix,0,1,Rogue,EU3,EU
NA,NA3,Cloud9,0,1,DWG KIA,KR1,KR
EU,EU3,Rogue,1,0,Funplus Phoenix,CH2,CH
KR,KR1,DWG KIA,1,0,Rogue,EU3,EU
CH,CH2,Funplus Phoenix,0,1,Cloud9,NA3,NA
NA,NA3,Cloud9,1,0,Rogue,EU3,EU
CH,CH2,Funplus Phoenix,0,1,DWG KIA,KR1,KR
NA,NA1,100 Thieves,0,1,T1,KR3,KR
CH,CH1,Edward Gaming,1,0,Detonation FocusMe,JP1,JP
KR,KR1,DWG KIA,1,0,Cloud9,NA3,NA
KR,KR2,Gen.G eSports,1,0,Team Liquid,NA2,NA
SA,SA1,PSG Talon,1,0,Fnatic,EU2,EU
CH,CH2,Funplus Phoenix,1,0,Rogue,EU3,EU
EU,EU1,MAD Lions,0,1,LNG Esports,CH4,CH
CH,CH3,Royal Never Give Up,1,0,Hanwha Life eSports,KR4,KR
NA,NA2,Team Liquid,0,1,LNG Esports,CH4,CH
EU,EU1,MAD Lions,1,0,Gen.G eSports,KR2,KR
JP,JP1,Detonation FocusMe,0,1,100 Thieves,NA1,NA
NA,NA3,Cloud9,0,1,Funplus Phoenix,CH2,CH
EU,EU2,Fnatic,0,1,Royal Never Give Up,CH3,CH
SA,SA1,PSG Talon,1,0,Hanwha Life eSports,KR4,KR
EU,EU3,Rogue,0,1,DWG KIA,KR1,KR
KR,KR3,T1,0,1,Edward Gaming,CH1,CH
EU,EU3,Rogue,1,0,Cloud9,NA3,NA
NA,NA2,Team Liquid,1,0,MAD Lions,EU1,EU
CH,CH1,Edward Gaming,1,0,100 Thieves,NA1,NA
KR,KR3,T1,1,0,Detonation FocusMe,JP1,JP
CH,CH4,LNG Esports,0,1,Gen.G eSports,KR2,KR
KR,KR4,Hanwha Life eSports,1,0,Fnatic,EU2,EU
CH,CH3,Royal Never Give Up,1,0,PSG Talon,SA1,SA
KR,KR1,DWG KIA,1,0,Funplus Phoenix,CH2,CH
OC,OC1,PEACE,0,3,Cloud9,NA3,NA
SA,SA2,Beyond Gaming,0,3,Hanwha Life eSports,KR4,KR
OC,OC1,PEACE,3,2,RED Canids,BR1,BR
TK,TK1,Galatasaray Esports,2,3,Beyond Gaming,SA2,SA
JP,JP1,Detonation FocusMe,1,0,Cloud9,NA3,NA
CI,CI1,Unicorns Of Love,0,1,Beyond Gaming,SA2,SA
NA,NA3,Cloud9,0,1,Unicorns Of Love,CI1,CI
JP,JP1,Detonation FocusMe,1,0,Beyond Gaming,SA2,SA
OC,OC1,PEACE,1,0,RED Canids,BR1,BR
CH,CH4,LNG Esports,1,0,Infinity eSports,LA1,LA
NA,NA3,Cloud9,1,0,Galatasaray Esports,TK1,TK
SA,SA2,Beyond Gaming,1,0,Unicorns Of Love,CI1,CI
